KEY	sensEnto	resitEnto	sensDauno	resDauno	relSoraf	diagSoraf	sensEnto1	sensDauno1	resSoraf1	resEnto1	resDauno1	diagSoraf1
ENSG00000203394.2	897	318	425	3378	834	1042	709	1955	1791	453	1781	1042
ENSG00000203395.2	0	1	0	0	94	100	0	0	190	0	0	100
ENSG00000203402.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203434.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203441.2	2	2	5	50	0	9	0	31	0	2	85	9
ENSG00000203446.2	0	1	0	13	0	1	0	12	7	0	6	1
ENSG00000203469.2	193	87	104	277	174	138	137	383	237	118	385	138
ENSG00000203472.3	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000203496.4	0	0	0	0	0	0	0	0	5	0	0	0
ENSG00000203497.2	61	30	14	139	0	159	63	64	343	52	172	159
ENSG00000203498.2	0	3	0	0	0	1	1	0	0	1	0	1
ENSG00000203499.6	234	105	35	172	0	8	125	310	25	118	465	8
ENSG00000203506.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203520.3	0	0	0	0	0	0	0	0	3	0	0	0
ENSG00000203527.2	2	1	0	0	0	0	1	0	0	3	0	0
ENSG00000203565.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203585.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203588.3	5	1	0	0	0	0	3	0	0	0	0	0
ENSG00000203593.3	0	0	0	2	0	1	0	0	0	0	0	1
ENSG00000203601.3	0	0	0	0	0	2	0	1	4	0	0	2
ENSG00000203605.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203620.2	0	0	0	0	2	0	0	0	1	0	2	0
ENSG00000203635.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203643.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203645.2	0	0	0	0	0	2	2	5	3	0	0	2
ENSG00000203650.3	0	0	0	2	0	0	0	2	0	0	0	0
ENSG00000203688.4	0	0	0	7	0	2	0	0	0	0	4	2
ENSG00000203706.4	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000203709.5	9	4	2	3	2512	2040	9	8	3825	13	5	2040
ENSG00000203721.1	3	5	0	2	2	2	1	2	6	1	0	2
ENSG00000203729.4	0	0	0	2	0	6	0	0	4	1	0	6
ENSG00000203739.3	30	24	12	163	67	98	31	63	164	15	199	98
ENSG00000203801.4	0	1	0	2	0	2	0	0	8	1	0	2
ENSG00000203808.6	3	0	0	12	0	0	4	8	0	0	2	0
ENSG00000203809.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203849.6	0	0	28	321	14	7	0	131	10	0	97	7
ENSG00000203865.5	2577	1074	2205	10360	690	1237	1751	11492	1393	1373	14768	1237
ENSG00000203875.6	714	515	1181	14428	0	2148	594	7272	6790	754	12976	2148
ENSG00000203886.4	0	0	0	4	0	5	3	0	2	0	0	5
ENSG00000203897.3	0	0	0	0	0	0	0	0	4	0	0	0
ENSG00000203900.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203971.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203987.2	0	0	0	2	0	0	0	2	0	0	0	0
ENSG00000203999.4	1	1	3	46	0	0	0	0	0	2	4	0
ENSG00000204011.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204025.2	8	2	0	0	0	0	11	0	0	1	0	0
ENSG00000204044.5	11	12	9	116	0	0	10	61	0	11	58	0
ENSG00000204054.7	709	358	758	11377	0	1185	486	2403	1465	429	5657	1185
ENSG00000204055.4	121	47	14	162	0	59	49	13	31	74	40	59
ENSG00000204091.3	101	12	145	3640	0	0	71	262	0	35	6258	0
ENSG00000204092.2	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000204110.6	0	0	0	0	0	4	0	0	0	0	0	4
ENSG00000204117.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204119.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204148.3	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000204187.5	0	0	0	2	0	2	0	0	0	0	0	2
ENSG00000204241.3	1	0	0	0	0	0	2	0	6	0	2	0
ENSG00000204250.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204261.4	700	425	30	254	0	1748	468	260	2875	606	163	1748
ENSG00000204272.6	383	146	61	675	0	0	293	1375	0	200	2118	0
ENSG00000204277.1	6	0	0	28	0	0	2	2	0	3	65	0
ENSG00000204282.3	190	148	160	1774	0	0	197	1467	2	179	2110	0
ENSG00000204362.5	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000204380.2	76	89	65	340	144	144	85	515	277	93	470	144
ENSG00000204460.3	0	0	2	0	0	0	0	0	0	0	2	0
ENSG00000204466.5	0	0	0	2	0	0	0	0	0	0	4	0
ENSG00000204528.3	0	0	0	0	0	3	0	0	1	0	0	3
ENSG00000204581.2	5	0	0	11	0	2	1	0	3	1	5	2
ENSG00000204583.5	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000204584.1	16	20	1	4	0	0	12	5	1	11	4	0
ENSG00000204588.5	0	0	0	0	0	10	0	0	0	0	0	10
ENSG00000204603.2	0	0	0	38	0	15	0	2	0	0	309	15
ENSG00000204623.4	765	432	354	1774	0	2025	369	1816	2354	553	2268	2025
ENSG00000204625.6	2	0	0	6	0	4	0	8	11	0	2	4
ENSG00000204666.3	3	1	1	0	0	0	4	2	0	0	2	0
ENSG00000204684.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204685.5	338	179	386	1551	594	686	221	1899	1413	203	1763	686
ENSG00000204706.10	0	0	0	0	0	623	0	0	517	0	0	623
ENSG00000204754.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204758.3	3	2	2	38	0	31	2	22	123	1	27	31
ENSG00000204791.4	57	50	27	176	0	7	23	87	9	84	91	7
ENSG00000204792.2	0	1	160	1216	226	4	0	542	391	0	1500	4
ENSG00000204802.3	0	0	0	4	0	28	1	0	51	1	0	28
ENSG00000204815.4	10	2	0	209	0	0	5	20	0	4	150	0
ENSG00000204832.5	3	0	60	623	0	200	1	513	247	0	481	200
ENSG00000204837.2	0	0	0	0	0	58	1	4	113	1	24	58
ENSG00000204844.7	0	0	0	4	0	0	0	0	0	0	0	0
ENSG00000204860.4	119	51	0	0	0	39	71	0	0	90	0	39
ENSG00000204929.7	3	1	2	52	0	0	3	11	2	4	71	0
ENSG00000204934.6	122	76	59	261	0	97	108	230	98	117	464	97
ENSG00000204949.4	0	0	115	747	0	24	0	315	2	0	561	24
ENSG00000204971.3	0	0	0	0	0	2	0	0	6	0	0	2
ENSG00000204990.3	0	0	0	0	0	0	0	0	0	0	0	0
